split,window_plan,experiment,model,best_epoch,val_loss,n_test_windows,n_test_files,window_accuracy,window_macro_f1,window_mae_mil,window_rmse_mil,file_accuracy,file_macro_f1,file_mae_mil,file_rmse_mil,mil28_accuracy,mil28_mae_mil
A,no_overlap,dual101,Cnn1d,26,0.3097609714393245,1777,15,1.0,1.0,1.4907100200653076,1.8799448013305664,1.0,1.0,1.2281262874603271,1.4152138233184814,,
A,no_overlap,dual101,CnnGru,15,0.168013845373205,1777,15,0.9988745075970737,0.9987683484875498,0.6637269258499146,1.0250433683395386,1.0,1.0,0.42995771765708923,0.5509975552558899,,
A,no_overlap,dual101,CnnLstm,12,0.17820659673432035,1777,15,0.9791783905458639,0.9835910642904055,0.7998591661453247,1.164306640625,1.0,1.0,0.5443223714828491,0.6982600092887878,,
A,no_overlap,109DEFE,Cnn1d,18,0.7285076580792255,2013,17,0.9637357178340785,0.9674269640436624,2.3451991081237793,3.4302175045013428,0.9411764705882353,0.9476190476190476,1.9758498668670654,3.0128023624420166,1.0,6.113988876342773
A,no_overlap,109DEFE,CnnGru,17,0.2984341498608592,2013,17,0.9975161450571287,0.9937548529447933,0.7638399600982666,1.1688376665115356,1.0,1.0,0.42494672536849976,0.6743910312652588,1.0,0.4830770194530487
A,no_overlap,109DEFE,CnnLstm,24,0.49373665873397754,2013,17,0.998012916045703,0.9957513507329789,0.6863303184509277,0.9784802198410034,1.0,1.0,0.2745821177959442,0.3402974307537079,1.0,0.5100011825561523
A,no_overlap,101DEFE,Cnn1d,17,0.7068250339044637,1777,15,0.9549803038829487,0.9626175800935075,2.227741003036499,2.6866979598999023,1.0,1.0,1.8432033061981201,2.2012434005737305,,
A,no_overlap,101DEFE,CnnGru,5,0.4896367113259759,1777,15,0.9673607203151379,0.9572178014687154,2.1657562255859375,2.827037811279297,1.0,1.0,1.7641302347183228,2.220304012298584,,
A,no_overlap,101DEFE,CnnLstm,9,0.5984946731896508,1777,15,0.9268429938097917,0.9257482041622886,1.5363705158233643,2.075644016265869,0.9333333333333333,0.9285714285714286,1.3614468574523926,1.7688839435577393,,
A,no_overlap,109DE,Cnn1d,34,0.5947829322463257,2013,17,0.9259811227024342,0.939853821470221,1.4921612739562988,1.8523379564285278,0.9411764705882353,0.9555555555555556,1.1265811920166016,1.2644180059432983,1.0,1.5426706075668335
A,no_overlap,109DE,CnnGru,34,0.08133752018307128,2013,17,0.9836065573770492,0.9877707321118704,0.5439499616622925,0.8575170040130615,1.0,1.0,0.20531055331230164,0.27696192264556885,1.0,0.36698126792907715
A,no_overlap,109DE,CnnLstm,50,0.10335199512265869,2013,17,0.9622454048683556,0.9710810502253829,0.7406688928604126,1.3985300064086914,1.0,1.0,0.43341976404190063,0.9524557590484619,1.0,0.23302176594734192
A,no_overlap,101DE,Cnn1d,31,0.4274368514300532,1777,15,0.943725379853686,0.9543571712446064,1.6384563446044922,2.0396571159362793,1.0,1.0,1.3203730583190918,1.6139326095581055,,
A,no_overlap,101DE,CnnGru,15,0.1448792389534197,1777,15,0.971862689926843,0.9790642678799346,0.8066240549087524,1.1484283208847046,1.0,1.0,0.4729665517807007,0.561494767665863,,
A,no_overlap,101DE,CnnLstm,30,0.48012178359867447,1777,15,0.9561057962858751,0.9648555502923764,0.7881839871406555,1.4019032716751099,1.0,1.0,0.45592212677001953,0.6824078559875488,,
A,overlap50,dual101,Cnn1d,30,0.21089848269420158,3545,15,0.9994358251057828,0.9994835906337844,1.2247413396835327,1.5469869375228882,1.0,1.0,0.995725691318512,1.1955955028533936,,
A,overlap50,dual101,CnnGru,18,0.1693625630319061,3545,15,0.9991537376586742,0.9990740972261356,0.4678043723106384,0.8564450740814209,1.0,1.0,0.29671522974967957,0.4692741930484772,,
A,overlap50,dual101,CnnLstm,9,0.10930024730507493,3545,15,0.995768688293371,0.9967771359712443,0.9302159547805786,1.4776747226715088,1.0,1.0,0.5321370363235474,0.8441073298454285,,
A,overlap50,109DEFE,Cnn1d,21,0.6103197390154891,4016,17,0.9912848605577689,0.9915291422397349,1.5584142208099365,1.9984686374664307,1.0,1.0,1.1156189441680908,1.322810411453247,0.9978768577494692,1.282203197479248
A,overlap50,109DEFE,CnnGru,2,0.39330300571375376,4016,17,0.9728585657370518,0.9679149063718402,1.7251548767089844,2.4833178520202637,1.0,1.0,1.4209399223327637,2.14117431640625,1.0,0.609846830368042
A,overlap50,109DEFE,CnnLstm,27,0.2193417844394744,4016,17,1.0,1.0,0.25748565793037415,0.4995013177394867,1.0,1.0,0.11336809396743774,0.1746050864458084,1.0,0.1677602082490921
A,overlap50,101DEFE,Cnn1d,18,0.5331483744067578,3545,15,0.9909732016925247,0.9906076535489761,1.7421046495437622,2.152951240539551,1.0,1.0,1.266048550605774,1.627761960029602,,
A,overlap50,101DEFE,CnnGru,2,0.5682659903463549,3545,15,0.9647390691114246,0.9597453076227773,2.652439594268799,3.477677583694458,1.0,1.0,2.513772964477539,3.1503281593322754,,
A,overlap50,101DEFE,CnnLstm,11,0.6569478454240336,3545,15,0.9997179125528914,0.9997924741876316,0.4997805655002594,0.8556830286979675,1.0,1.0,0.2754009962081909,0.39446064829826355,,
A,overlap50,109DE,Cnn1d,14,0.5530740965808154,4016,17,0.9574203187250996,0.9680500357471735,1.5362406969070435,1.9068679809570312,1.0,1.0,1.2181236743927002,1.4383320808410645,1.0,1.4436366558074951
A,overlap50,109DE,CnnGru,17,0.06404875003797884,4016,17,0.9882968127490039,0.9914197953930632,0.8234989643096924,1.2706884145736694,1.0,1.0,0.5764331221580505,0.8571943044662476,1.0,0.26944226026535034
A,overlap50,109DE,CnnLstm,14,0.22600837362815765,4016,17,0.961902390438247,0.9701164058402681,0.884335458278656,1.4728542566299438,1.0,1.0,0.6315645575523376,0.9084112644195557,1.0,0.27851831912994385
A,overlap50,101DE,Cnn1d,20,0.6006059819443574,3545,15,0.9435825105782792,0.9523941839120217,1.858035683631897,2.299983501434326,1.0,1.0,1.5091829299926758,1.9085016250610352,,
A,overlap50,101DE,CnnGru,13,0.06347116220977733,3545,15,0.9895627644569817,0.9920250413839342,0.8716631531715393,1.3725481033325195,1.0,1.0,0.7094696164131165,0.9996596574783325,,
A,overlap50,101DE,CnnLstm,35,0.3850675449274009,3545,15,0.9534555712270804,0.961498589651631,0.6082742810249329,1.174052357673645,1.0,1.0,0.38694503903388977,0.7054244875907898,,
B,no_overlap,dual101,Cnn1d,18,0.09639899479231262,1775,15,0.9836619718309859,0.9871061493014563,2.577122211456299,3.635222911834717,1.0,1.0,2.4293062686920166,3.411003351211548,,
B,no_overlap,dual101,CnnGru,35,0.007237096873256825,1775,15,1.0,1.0,0.7148159742355347,1.579619288444519,1.0,1.0,0.5905802249908447,1.1149349212646484,,
B,no_overlap,dual101,CnnLstm,17,0.023730863313613883,1775,15,0.9887323943661972,0.9900949153851092,0.8539280295372009,1.7932357788085938,1.0,1.0,0.673973023891449,1.0122679471969604,,
B,no_overlap,109DEFE,Cnn1d,56,0.06130327352538711,2011,17,0.9776230730979613,0.9824499203607436,2.2891952991485596,3.3692820072174072,1.0,1.0,1.882072925567627,3.053051471710205,1.0,1.5229390859603882
B,no_overlap,109DEFE,CnnGru,53,0.01641018709967881,2011,17,0.9905519641969169,0.9926130560584454,1.0583524703979492,2.6960220336914062,1.0,1.0,0.8777648210525513,2.2556493282318115,1.0,0.29309317469596863
B,no_overlap,109DEFE,CnnLstm,17,0.04727680667465951,2011,17,0.9825957235206365,0.984626474277867,1.1367985010147095,2.113359212875366,1.0,1.0,0.8045026063919067,1.5225120782852173,1.0,0.3775435984134674
B,no_overlap,101DEFE,Cnn1d,49,0.06465497199728085,1775,15,0.9746478873239437,0.9796764603781588,2.2464165687561035,3.3694489002227783,1.0,1.0,1.8065154552459717,3.0666565895080566,,
B,no_overlap,101DEFE,CnnGru,29,0.01429996276108084,1775,15,0.9684507042253521,0.9756152262016061,1.472899317741394,3.2463035583496094,1.0,1.0,1.240028977394104,2.767455577850342,,
B,no_overlap,101DEFE,CnnLstm,12,0.08334275798340417,1775,15,0.9645070422535211,0.9689165822251864,1.9365888833999634,3.3483407497406006,1.0,1.0,1.453794240951538,2.552304267883301,,
B,no_overlap,109DE,Cnn1d,72,0.12287897379691395,2011,17,0.984087518647439,0.9840973334854592,2.3810441493988037,3.3365166187286377,1.0,1.0,2.0465288162231445,3.0086822509765625,1.0,1.7016081809997559
B,no_overlap,109DE,CnnGru,23,0.11207984213651585,2011,17,0.9985082048731975,0.9988375033964788,1.453226923942566,2.506755828857422,1.0,1.0,1.2609795331954956,2.099088430404663,1.0,0.8754873275756836
B,no_overlap,109DE,CnnLstm,34,0.1691922608510511,2011,17,0.956737941322725,0.9650806937966916,1.2355087995529175,2.3120343685150146,1.0,1.0,0.9198070168495178,1.8259104490280151,1.0,0.24951477348804474
B,no_overlap,101DE,Cnn1d,31,0.1672980672632639,1775,15,0.9780281690140845,0.9825852586343264,2.4526820182800293,3.426591157913208,1.0,1.0,2.1418936252593994,3.150129795074463,,
B,no_overlap,101DE,CnnGru,22,0.1403830626012008,1775,15,0.9983098591549295,0.9986776104431886,1.149418830871582,1.9034074544906616,1.0,1.0,0.9331848621368408,1.5973999500274658,,
B,no_overlap,101DE,CnnLstm,21,0.1847786606497992,1775,15,0.923943661971831,0.932988553048372,1.286026120185852,2.2307024002075195,0.9333333333333333,0.945054945054945,1.0551514625549316,1.6732752323150635,,
B,overlap50,dual101,Cnn1d,32,0.0770413914733145,3545,15,0.9960507757404795,0.9965616849965179,2.3473942279815674,3.4329793453216553,1.0,1.0,2.172598361968994,3.238346576690674,,
B,overlap50,dual101,CnnGru,32,0.005497198675829427,3545,15,0.9867418899858956,0.9897304165009879,1.0909839868545532,2.1935884952545166,1.0,1.0,0.9298171401023865,1.8998680114746094,,
B,overlap50,dual101,CnnLstm,36,0.009653296493509609,3545,15,0.9864598025387871,0.98937413994274,0.6558233499526978,1.3779642581939697,1.0,1.0,0.4034517705440521,0.8384171724319458,,
B,overlap50,109DEFE,Cnn1d,66,0.045017898616657066,4016,17,0.9950199203187251,0.9961121779772295,1.905954360961914,2.9294605255126953,1.0,1.0,1.4366793632507324,2.625547170639038,1.0,1.0185142755508423
