window_plan,experiment,model,n_splits,window_accuracy_mean,window_accuracy_std,window_accuracy_min,window_accuracy_max,window_macro_f1_mean,window_macro_f1_std,window_macro_f1_min,window_macro_f1_max,window_mae_mil_mean,window_mae_mil_std,window_mae_mil_min,window_mae_mil_max,window_rmse_mil_mean,window_rmse_mil_std,window_rmse_mil_min,window_rmse_mil_max,file_accuracy_mean,file_accuracy_std,file_accuracy_min,file_accuracy_max,file_macro_f1_mean,file_macro_f1_std,file_macro_f1_min,file_macro_f1_max,file_mae_mil_mean,file_mae_mil_std,file_mae_mil_min,file_mae_mil_max,file_rmse_mil_mean,file_rmse_mil_std,file_rmse_mil_min,file_rmse_mil_max
no_overlap,dual101,Cnn1d,3,0.9562760545624132,0.026182331382942643,0.9268018018018018,0.9904225352112676,0.9606560405700731,0.023612511718369773,0.9361157253599113,0.9925388410749432,1.919474720954895,0.46144806913991143,1.3043183088302612,2.4157018661499023,2.7375365495681763,0.7621432289730121,1.6952992677688599,3.4965617656707764,0.9555555555555556,0.03142696805273544,0.9333333333333333,1.0,0.9582972582972583,0.029678860046312188,0.9333333333333333,1.0,1.6693304379781086,0.4660786437068869,1.0361199378967285,2.14445161819458,2.4687361319859824,0.8137765030869889,1.3354076147079468,3.208672285079956
no_overlap,dual101,CnnGru,3,0.9868618618618618,0.01858013313928615,0.9605855855855856,1.0,0.9877811361601712,0.01728008295907614,0.9633434084805135,1.0,0.9095328052838644,0.28690024716720114,0.6377330422401428,1.3063182830810547,1.9184201161066692,0.7464235385233253,0.9521878957748413,2.769664764404297,0.9777777777777779,0.03142696805273544,0.9333333333333333,1.0,0.9805194805194805,0.027549614851423914,0.9415584415584416,1.0,0.7815779248873392,0.30071390639359374,0.4709758162498474,1.1884500980377197,1.5532719294230144,0.6926238102445649,0.6530171632766724,2.337686061859131
no_overlap,dual101,CnnLstm,3,0.9915538423369513,0.009566438079072963,0.9780405405405406,0.9988745075970737,0.9914200517888458,0.01031057584085394,0.9768486260440145,0.9991717314810584,0.8337340156237284,0.2694945618375807,0.4588008522987366,1.0804443359375,1.8508234818776448,0.7494146788298295,0.8305232524871826,2.609316349029541,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6356828709443411,0.32550331237253066,0.1808117926120758,0.9243379831314087,1.3865518023570378,0.8835256983643558,0.21281881630420685,2.3444838523864746
no_overlap,109DEFE,Cnn1d,3,0.9519457028403723,0.02754032563018143,0.9164594728990552,0.9835902536051716,0.9597650725770029,0.02268154009336687,0.9316918604518576,0.9872404085737233,2.8842269579569497,0.4381683863033051,2.3103771209716797,3.373660087585449,3.873206456502279,0.5026936865921227,3.2480554580688477,4.478939056396484,0.9411764705882352,0.04802921064280742,0.8823529411764706,1.0,0.9502035002035002,0.03964571514929308,0.902991452991453,1.0,2.6219740311304727,0.46525116306021924,1.976422905921936,3.0549120903015137,3.589693307876587,0.5143993056185067,2.947561740875244,4.206833839416504
no_overlap,109DEFE,CnnGru,3,0.9779595236630721,0.014127700682422759,0.9582297364495276,0.9905519641969169,0.976605500950436,0.012046293954231888,0.9633372891620762,0.9924935635120132,1.345826506614685,0.21644667798431572,1.0906516313552856,1.6198314428329468,2.523909409840902,0.6332534852224236,1.8915791511535645,3.389286518096924,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.1101024548212688,0.26417299162842317,0.8501029014587402,1.4724408388137817,2.1488667726516724,0.7863700168007116,1.3972774744033813,3.2345218658447266
no_overlap,109DEFE,CnnLstm,3,0.9554122305791405,0.04071202474652226,0.9010442565887619,0.9990064580228515,0.9632446162418665,0.030736611557599203,0.9229288395396982,0.9974768623665682,1.3902604977289836,0.6800072638077603,0.515345573425293,2.17341685295105,2.541803995768229,1.221011810640789,0.9149439334869385,3.856531858444214,0.9607843137254902,0.05545935538718021,0.8823529411764706,1.0,0.9695767195767195,0.04302501578648305,0.9087301587301587,1.0,1.1452898681163788,0.6904766936504736,0.2763691246509552,1.965586543083191,1.9812926948070526,1.2850883766121595,0.30868664383888245,3.4332010746002197
no_overlap,101DEFE,Cnn1d,3,0.958330896682506,0.019447287540669354,0.9318693693693694,0.9780528981429375,0.9649868869276927,0.016224266594939446,0.9425062193030551,0.9802027618576995,2.3906373182932534,0.5455609930810665,1.7963075637817383,3.113870620727539,3.319026152292887,0.8581807433449794,2.2431530952453613,4.343361854553223,0.9777777777777779,0.03142696805273544,0.9333333333333333,1.0,0.9805194805194805,0.027549614851423914,0.9415584415584416,1.0,2.044918974240621,0.5702045315902229,1.4384304285049438,2.8084115982055664,2.9505354166030884,0.9486169285616433,1.7254306077957153,4.036532402038574
no_overlap,101DEFE,CnnGru,3,0.967524001686025,0.020118269941065303,0.9459459459459459,0.9943725379853686,0.9706646013331744,0.015582521758735373,0.9515191475411975,0.9896877872585778,1.367858648300171,0.5731423255351712,0.7275311946868896,2.118398666381836,2.643285950024923,1.2209842324560163,1.0316394567489624,3.985905647277832,0.9555555555555556,0.03142696805273544,0.9333333333333333,1.0,0.9636844636844636,0.025882563924649354,0.9415584415584416,1.0,1.1727150479952495,0.5565480418989732,0.4892277121543884,1.852471113204956,2.1305400331815085,1.1970673623843058,0.577816903591156,3.4910621643066406
no_overlap,101DEFE,CnnLstm,3,0.9650823677712443,0.01691537625643348,0.9430985915492958,0.9842431063590321,0.9715469356933549,0.011589943648982356,0.9560643811158526,0.9839474048107256,1.5456457535425823,0.35266197015442824,1.0507125854492188,1.8463717699050903,3.0469818909962973,1.0843916146750916,1.5136287212371826,3.8355400562286377,0.9777777777777779,0.03142696805273544,0.9333333333333333,1.0,0.9831649831649831,0.023808309130860184,0.9494949494949495,1.0,1.2608534693717957,0.4450639077431295,0.6322140097618103,1.6022313833236694,2.6119070053100586,1.2063042247791254,0.9217517375946045,3.6576988697052
no_overlap,109DE,Cnn1d,3,0.908691713706754,0.03390312288023257,0.860765788165092,0.9338637493784187,0.9236260808717427,0.0318977136374335,0.8785162026956275,0.9463237474820219,2.2604395945866904,0.502553501209054,1.553592324256897,2.678013324737549,2.8379300435384116,0.658873037163179,1.9061670303344727,3.309623956680298,0.9215686274509803,0.027729677693590107,0.8823529411764706,0.9411764705882353,0.9347934472934473,0.027568841292645432,0.8958333333333334,0.9555555555555556,1.912073055903117,0.5025635741732677,1.2015249729156494,2.2813572883605957,2.4524090687433877,0.6718379243871224,1.5023971796035767,2.9399590492248535
