window_plan,experiment,model,n_splits,window_accuracy_mean,window_accuracy_std,window_accuracy_min,window_accuracy_max,window_macro_f1_mean,window_macro_f1_std,window_macro_f1_min,window_macro_f1_max,window_mae_mil_mean,window_mae_mil_std,window_mae_mil_min,window_mae_mil_max,window_rmse_mil_mean,window_rmse_mil_std,window_rmse_mil_min,window_rmse_mil_max,file_accuracy_mean,file_accuracy_std,file_accuracy_min,file_accuracy_max,file_macro_f1_mean,file_macro_f1_std,file_macro_f1_min,file_macro_f1_max,file_mae_mil_mean,file_mae_mil_std,file_mae_mil_min,file_mae_mil_max,file_rmse_mil_mean,file_rmse_mil_std,file_rmse_mil_min,file_rmse_mil_max
no_overlap,dual101,Cnn1d,3,0.9742837203400584,0.025696334091816434,0.9391891891891891,1.0,0.9778233229339531,0.022859543793541305,0.9463638195004029,1.0,2.134432872136434,0.46574937275862405,1.4907100200653076,2.577122211456299,2.9160903294881186,0.7508320793903961,1.8799448013305664,3.635222911834717,0.9777777777777779,0.03142696805273544,0.9333333333333333,1.0,0.9805194805194805,0.027549614851423914,0.9415584415584416,1.0,1.8839854796727498,0.4965698277606148,1.2281262874603271,2.4293062686920166,2.5496535301208496,0.837348005777931,1.4152138233184814,3.411003351211548
no_overlap,dual101,CnnGru,3,0.9840467577876132,0.02177029758905526,0.9532657657657657,1.0,0.9822938914278877,0.024174539520510276,0.948113325796113,1.0,1.045419176419576,0.5041006061799165,0.6637269258499146,1.7577146291732788,1.965028206507365,0.9641542302562418,1.0250433683395386,3.290421962738037,0.9777777777777779,0.03142696805273544,0.9333333333333333,1.0,0.9805194805194805,0.027549614851423914,0.9415584415584416,1.0,0.874344935019811,0.519040023818792,0.42995771765708923,1.602496862411499,1.5730741222699482,1.07169192653955,0.5509975552558899,3.0532898902893066
no_overlap,dual101,CnnLstm,3,0.973725516892609,0.014983787001934402,0.9532657657657657,0.9887323943661972,0.9754415477382024,0.01634122936244467,0.9526386635390923,0.9900949153851092,1.1582877039909363,0.4691815720090645,0.7998591661453247,1.8210759162902832,2.2021891276041665,1.0547948985389155,1.164306640625,3.6490249633789062,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9314152201016744,0.4588183307345684,0.5443223714828491,1.575950264930725,1.6950966715812683,1.1946009388543102,0.6982600092887878,3.3747620582580566
no_overlap,109DEFE,Cnn1d,3,0.9585732684509086,0.01803495851532685,0.9343610144206862,0.9776230730979613,0.9653544354077463,0.014876869357827593,0.9461864218188332,0.9824499203607436,2.5635902881622314,0.3492017210359791,2.2891952991485596,3.0563764572143555,3.649075667063395,0.3534765562244593,3.3692820072174072,4.1477274894714355,0.9607843137254902,0.027729677693590107,0.9411764705882353,1.0,0.9657046657046657,0.024262553009161438,0.9476190476190476,1.0,2.178487539291382,0.3549539096014973,1.882072925567627,2.677539825439453,3.298056681950887,0.3753099824295316,3.0128023624420166,3.8283162117004395
no_overlap,109DEFE,CnnGru,3,0.9812705068307452,0.01827292005139527,0.95574341123819,0.9975161450571287,0.9831522920744162,0.014194568871989825,0.96308896722001,0.9937548529447933,1.2774094740549724,0.5318148897338055,0.7638399600982666,2.010035991668701,2.3525668382644653,0.8612464956126717,1.1688376665115356,3.192840814590454,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0812216798464458,0.635408084099501,0.42494672536849976,1.9409534931182861,1.9098225434621174,0.9013478347182663,0.6743910312652588,2.7994272708892822
no_overlap,109DEFE,CnnLstm,3,0.9849169524561426,0.00988243008197537,0.9741422178020885,0.998012916045703,0.9861035592544584,0.007348970566951404,0.9779328527525292,0.9957513507329789,1.2392748594284058,0.49860660003295254,0.6863303184509277,1.89469575881958,2.197444796562195,1.0313235420604592,0.9784802198410034,3.500494956970215,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8639611701170603,0.5072452530127156,0.2745821177959442,1.51279878616333,1.6321753958861034,1.1023146385715685,0.3402974307537079,3.0337166786193848
no_overlap,101DEFE,Cnn1d,3,0.9478265141860813,0.025330314208301688,0.9138513513513513,0.9746478873239437,0.9576344246223331,0.020339158779449012,0.9306092333953331,0.9796764603781588,2.5232981046040854,0.40484704057489906,2.227741003036499,3.0957367420196533,3.4277260303497314,0.6301871755702219,2.6866979598999023,4.227031230926514,0.9777777777777779,0.03142696805273544,0.9333333333333333,1.0,0.9805194805194805,0.027549614851423914,0.9415584415584416,1.0,2.1241668065389,0.4235495288229435,1.8065154552459717,2.7227816581726074,3.0615535577138266,0.700366293367085,2.2012434005737305,3.9167606830596924
no_overlap,101DEFE,CnnGru,3,0.9626503547267099,0.007445507144683761,0.9521396396396397,0.9684507042253521,0.9637315069035841,0.008416020273598767,0.9572178014687154,0.9756152262016061,1.6648677190144856,0.35738531706468485,1.3559476137161255,2.1657562255859375,2.932379404703776,0.22594387944498953,2.723796844482422,3.2463035583496094,0.9777777777777779,0.03142696805273544,0.9333333333333333,1.0,0.9805194805194805,0.027549614851423914,0.9415584415584416,1.0,1.4120142857233684,0.24900578006970134,1.2318836450576782,1.7641302347183228,2.3621824582417807,0.29083360019995147,2.098787784576416,2.767455577850342
no_overlap,101DEFE,CnnLstm,3,0.9358178798889721,0.020754672620637845,0.9161036036036037,0.9645070422535211,0.9415179025372331,0.019447401213342114,0.9257482041622886,0.9689165822251864,2.023278832435608,0.4372679675760379,1.5363705158233643,2.596877098083496,3.1647403240203857,0.8245731575124677,2.075644016265869,4.0702362060546875,0.9555555555555556,0.03142696805273544,0.9333333333333333,1.0,0.9567099567099567,0.031066450420795057,0.9285714285714286,1.0,1.6972182591756184,0.411284581667193,1.3614468574523926,2.276413679122925,2.6444682280222573,0.7553539346299509,1.7688839435577393,3.6122164726257324
no_overlap,109DE,Cnn1d,3,0.9395239578575493,0.032308950015028245,0.9085032322227747,0.984087518647439,0.9488479686918065,0.02590205173569677,0.9225927511197395,0.9840973334854592,2.234334707260132,0.5558544264730297,1.4921612739562988,2.829798698425293,2.908762494723002,0.7514947073481005,1.8523379564285278,3.537432909011841,0.9607843137254902,0.027729677693590107,0.9411764705882353,1.0,0.9683501683501684,0.022516166326330612,0.9494949494949495,1.0,1.875662088394165,0.5551724214773661,1.1265811920166016,2.453876256942749,2.4704264402389526,0.8544138785650486,1.2644180059432983,3.138179063796997
